City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,Conroe,30.3119,-95.456,83.97,41,0,3.44,US,2022-09-28 00:52:18
187,Biak,-0.9131,122.8766,82.74,66,32,2.08,ID,2022-09-28 00:52:23
188,Marrakesh,31.6315,-8.0083,66.27,63,40,5.75,MA,2022-09-28 00:51:28
189,Tasiilaq,65.6145,-37.6368,33.33,97,100,3.98,GL,2022-09-28 00:52:34
190,Charters Towers,-20.1,146.2667,80.26,51,17,4.09,AU,2022-09-28 00:52:39
191,Ancud,-41.8697,-73.8203,44.46,84,0,5.28,CL,2022-09-28 00:52:44
192,Mildura,-34.2,142.15,60.08,75,99,18.25,AU,2022-09-28 00:52:50
193,Saint-Augustin,51.226,-58.6502,55.38,96,100,1.95,CA,2022-09-28 00:52:55
194,Iskateley,67.6803,53.1512,27.52,69,12,6.87,RU,2022-09-28 00:53:00
195,Hualmay,-11.0964,-77.6139,61.36,81,91,9.95,PE,2022-09-28 00:53:06
196,Puerto Escondido,15.85,-97.0667,80.33,84,100,3.09,MX,2022-09-28 00:53:11
197,Lesnikovo,55.2822,65.3175,25.7,88,43,5.84,RU,2022-09-28 00:53:17
198,Zaysan,47.4667,84.8667,54.43,42,100,3.18,KZ,2022-09-28 00:53:22
199,Norman Wells,65.282,-126.8329,48.24,61,40,5.75,CA,2022-09-28 00:53:28
200,Souillac,-20.5167,57.5167,68.36,72,82,9.78,MU,2022-09-28 00:53:33
201,Diamantino,-14.4086,-56.4461,74.34,84,100,3.49,BR,2022-09-28 00:53:39
202,Baraboo,43.4711,-89.7443,50.94,72,100,4.61,US,2022-09-28 00:53:49
203,Yulara,-25.2406,130.9889,70.05,27,0,18.34,AU,2022-09-28 00:53:54
204,Bonavista,48.6499,-53.1147,61.95,89,100,18.3,CA,2022-09-28 00:54:00
205,Zhigansk,66.7697,123.3711,30.9,81,99,8.43,RU,2022-09-28 00:54:05
206,Sao Francisco De Paula,-29.4481,-50.5836,52.05,98,8,1.88,BR,2022-09-28 00:54:11
207,Fort Nelson,58.8053,-122.7002,76.59,29,75,5.75,CA,2022-09-28 00:54:16
208,Wukari,7.85,9.7833,71.6,98,100,8.03,NG,2022-09-28 00:54:22
209,Codrington,-38.2667,141.9667,54.43,75,100,11.83,AU,2022-09-28 00:54:18
210,Skjervoy,70.0311,20.9714,39.2,74,56,11.41,NO,2022-09-28 00:54:37
211,Lasa,46.6166,10.7002,50.88,67,78,3.31,IT,2022-09-28 00:54:43
212,Kaitangata,-46.2817,169.8464,59.81,62,25,7.38,NZ,2022-09-28 00:54:48
213,Chippewa Falls,44.9369,-91.3929,50.18,73,75,5.75,US,2022-09-28 00:50:35
214,Manyana,-23.4,21.7167,73.56,21,15,13.76,BW,2022-09-28 00:55:04
215,Havre-Saint-Pierre,50.2334,-63.5986,53.96,94,100,0.0,CA,2022-09-28 00:55:09
216,Isangel,-19.55,169.2667,84.31,70,20,11.5,VU,2022-09-28 00:55:14
217,Plettenberg Bay,-34.0527,23.3716,59.65,93,90,7.29,ZA,2022-09-28 00:55:20
218,Ouallam,14.3188,2.0866,86.52,42,95,7.83,NE,2022-09-28 00:55:25
219,Victoria,22.2855,114.1577,89.19,74,100,13.0,HK,2022-09-28 00:51:04
220,Chihuahua,28.5,-106.0,69.8,52,100,7.34,MX,2022-09-28 00:55:36
221,Aykhal,66.0,111.5,20.55,93,99,9.35,RU,2022-09-28 00:55:41
222,Tukrah,32.5341,20.5791,80.1,55,100,1.74,LY,2022-09-28 00:55:46
223,Mayo,38.8876,-76.5119,63.95,59,64,3.0,US,2022-09-28 00:55:52
224,Olinda,-8.0089,-34.8553,76.73,69,20,11.5,BR,2022-09-28 00:54:00
225,Flinders,-34.5833,150.8552,66.18,78,37,3.0,AU,2022-09-28 00:56:02
226,Sur,22.5667,59.5289,80.78,71,7,8.46,OM,2022-09-28 00:56:07
227,Kavieng,-2.5744,150.7967,84.97,63,79,14.61,PG,2022-09-28 00:56:18
228,Mwinilunga,-11.7358,24.4293,62.38,52,57,1.21,ZM,2022-09-28 00:56:23
229,Sitka,57.0531,-135.33,55.29,88,75,4.61,US,2022-09-28 00:56:04
230,Shuangcheng,45.35,126.2833,64.08,57,26,13.89,CN,2022-09-28 00:58:35
231,Torbay,47.6666,-52.7314,66.27,92,75,16.11,CA,2022-09-28 00:58:40
232,Malpe,13.35,74.7167,76.3,84,89,4.23,IN,2022-09-28 00:58:46
233,Chon Daen,16.1895,100.8596,77.13,90,96,3.56,TH,2022-09-28 00:58:51
234,Caravelas,-17.7125,-39.2481,73.65,86,1,8.32,BR,2022-09-28 00:58:56
235,Ribeira Grande,38.5167,-28.7,70.21,66,51,12.28,PT,2022-09-28 00:59:02
236,Namibe,-15.1961,12.1522,61.68,83,15,5.28,AO,2022-09-28 00:54:21
237,Kungurtug,50.5994,97.5228,41.27,82,95,4.59,RU,2022-09-28 00:59:12
238,Tutoia,-2.7619,-42.2744,78.82,83,41,10.02,BR,2022-09-28 00:59:17
239,Guerrero Negro,27.9769,-114.0611,79.56,65,5,12.12,MX,2022-09-28 00:59:28
240,Ixtapa,20.7,-105.2,79.88,94,37,1.63,MX,2022-09-28 00:59:33
241,Pangai,-19.8,-174.35,80.71,74,75,4.61,TO,2022-09-28 00:59:39
242,Tuatapere,-46.1333,167.6833,61.45,57,74,1.83,NZ,2022-09-28 00:59:44
243,Cururupu,-1.8283,-44.8683,74.86,91,16,4.09,BR,2022-09-28 00:59:49
244,Zilair,52.2332,57.4392,32.14,94,97,4.81,RU,2022-09-28 00:59:55
245,West Plains,36.7281,-91.8524,65.08,75,1,1.01,US,2022-09-28 00:56:46
246,Faanui,-16.4833,-151.75,78.85,72,12,13.87,PF,2022-09-28 01:00:05
247,The Pas,53.8251,-101.2541,53.4,63,56,9.31,CA,2022-09-28 01:00:12
248,Pauini,-7.7136,-66.9764,82.24,58,92,2.08,BR,2022-09-28 01:00:23
249,Nizwa,22.9333,57.5333,77.32,62,9,1.05,OM,2022-09-28 00:58:17
250,Sakaiminato,35.55,133.2333,71.76,72,100,15.59,JP,2022-09-28 01:00:34
251,Cagayan De Oro,8.4822,124.6472,80.91,79,100,5.01,PH,2022-09-28 01:00:39
252,Lebedinyy,58.5167,125.5167,25.57,81,100,8.7,RU,2022-09-28 01:00:44
253,Nabire,-3.3667,135.4833,83.16,72,100,1.9,ID,2022-09-28 01:00:50
254,Labuhan,-6.8844,112.2051,82.69,62,41,8.28,ID,2022-09-28 01:00:55
255,Ahipara,-35.1667,173.1667,63.68,68,95,12.48,NZ,2022-09-28 01:01:01
256,Arkhara,49.4212,130.0842,50.49,50,96,12.17,RU,2022-09-28 01:01:06
257,Sisimiut,66.9395,-53.6735,41.05,87,88,7.52,GL,2022-09-28 01:01:11
258,Bathsheba,13.2167,-59.5167,80.06,96,100,8.3,BB,2022-09-28 01:01:17
259,Atar,20.5169,-13.0499,93.38,37,80,4.7,MR,2022-09-28 01:01:22
260,Sao Filipe,14.8961,-24.4956,78.21,74,69,6.08,CV,2022-09-28 01:01:28
261,Rawah,34.4816,41.9093,72.97,20,0,9.55,IQ,2022-09-28 01:01:33
262,Chunskiy,56.0815,99.6342,34.09,98,100,3.02,RU,2022-09-28 01:01:54
263,Otjimbingwe,-22.35,16.1333,67.19,19,5,1.7,NA,2022-09-28 01:01:59
264,Camacha,33.0833,-16.3333,65.62,68,40,4.61,PT,2022-09-28 01:02:05
265,Avanigadda,16.0215,80.9181,77.47,91,99,2.77,IN,2022-09-28 00:57:19
266,Saint-Pierre,-21.3393,55.4781,67.68,56,0,9.22,RE,2022-09-28 01:02:16
267,Makakilo City,21.3469,-158.0858,85.57,53,23,15.1,US,2022-09-28 01:02:21
268,Kumluca,36.3703,30.2869,71.51,59,100,1.3,TR,2022-09-28 01:02:27
269,Rabo De Peixe,37.8,-25.5833,67.28,83,40,5.75,PT,2022-09-28 01:02:32
270,Chadiza,-14.0678,32.4392,67.37,56,13,5.46,ZM,2022-09-28 01:02:38
271,Noyabrsk,63.1994,75.4507,25.72,75,93,10.36,RU,2022-09-28 01:02:43
272,Abagur,53.7308,87.2526,42.22,84,100,8.79,RU,2022-09-28 01:02:48
273,Nalut,30.3333,10.85,79.2,40,71,11.23,LY,2022-09-28 01:02:54
274,Panalingaan,8.7842,117.4231,79.81,84,100,5.26,PH,2022-09-28 01:02:59
275,Bria,6.5423,21.9863,66.02,99,100,3.11,CF,2022-09-28 01:05:04
276,Jeremie,18.65,-74.1167,81.07,79,36,3.47,HT,2022-09-28 01:05:10
277,Hinton,53.4001,-117.5857,66.9,41,0,2.62,CA,2022-09-28 01:01:51
278,Tamworth,52.634,-1.6959,46.72,92,7,3.0,GB,2022-09-28 01:05:20
279,Vardo,70.3705,31.1107,44.58,93,100,11.5,NO,2022-09-28 01:05:26
280,Gornoye Loo,43.7129,39.6049,62.38,31,100,6.33,RU,2022-09-28 01:05:31
281,Avera,33.194,-82.5271,66.25,34,100,7.52,US,2022-09-28 01:05:42
282,North Bend,43.4065,-124.2243,66.24,86,75,8.05,US,2022-09-28 01:05:47
283,Oistins,13.0667,-59.5333,80.69,83,75,10.36,BB,2022-09-28 01:05:52
284,Cockburn Town,21.4612,-71.1419,82.53,81,10,19.39,TC,2022-09-28 01:05:58
285,Two Rivers,44.1539,-87.5693,51.33,76,100,12.66,US,2022-09-28 01:06:03
286,Melfi,40.9965,15.6514,58.01,81,41,7.11,IT,2022-09-28 01:06:09
287,Campina Verde,-19.5356,-49.4864,68.13,84,99,5.08,BR,2022-09-28 01:06:14
288,Srednekolymsk,67.45,153.6833,34.61,56,95,12.97,RU,2022-09-28 01:06:19
