,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Oklahoma City,US,85.57,clear sky,35.4676,-97.5164,Colcord Hotel
504,Inirida,CO,79.83,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
510,Shimoda,JP,75.11,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
512,Fort Wellington,GY,79.32,light rain,6.4,-57.6,TE'AMO Entertainment Park
514,Nankana Sahib,PK,76.73,clear sky,31.4475,73.6972,Nankana (Lake) Resort
515,Puerto Maldonado,PE,90.0,few clouds,-12.6,-69.1833,Wasai Hotel
521,Caucaia,BR,80.55,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
523,San Juan,AR,81.01,scattered clouds,-31.5375,-68.5364,Hotel Provincial
525,Ugoofaaru,MV,82.04,light rain,5.6667,73.0,Ungoofaaru Inn
527,Lengshuitan,CN,78.03,few clouds,26.4111,111.5956,Jialong Hotel
531,Mahibadhoo,MV,81.48,overcast clouds,3.7833,72.9667,Omadhoo Inn
532,Sohag,EG,82.17,clear sky,26.557,31.6948,Civil Registry - Sohag 1
533,Lincoln,US,83.26,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
535,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
538,Fundao,BR,76.53,overcast clouds,-19.9341,-40.4047,City Hotel
545,Amahai,ID,78.76,broken clouds,-3.3333,128.9167,HOTEL ISABELA
546,Iracoubo,GF,80.73,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
548,May Pen,JM,85.21,overcast clouds,17.9645,-77.2451,Mus Com Bac
549,Bakel,SN,86.27,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
552,Misratah,LY,76.6,overcast clouds,32.3754,15.0925,Almasa Hotel
555,Manokwari,ID,79.02,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
563,Tulum,MX,79.56,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
564,Turbat,PK,78.93,clear sky,26.0023,63.044,Mubashar Quarters
569,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
575,Itarema,BR,78.15,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
584,Corrales,US,77.18,broken clouds,35.2378,-106.6067,Quality Inn
586,Sanming,CN,75.87,clear sky,26.2486,117.6186,Sanming Huangting Lijing Hotel
596,Irbil,IQ,80.29,clear sky,36.1926,44.0106,Erbil International Hotel
598,Bosaso,SO,85.48,clear sky,11.2842,49.1816,Red Sea Hotel
599,Hit,IQ,81.88,clear sky,33.6416,42.8251,المعلق حسان رزاق
601,Bubaque,GW,82.11,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
610,Chunian,PK,76.87,clear sky,30.964,73.9803,Mitho Teeqia Wala
611,Katobu,ID,78.33,overcast clouds,-4.9408,122.5276,La Ode Husein
615,Alibag,IN,80.67,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
616,Hambantota,LK,78.51,overcast clouds,6.1241,81.1185,Bungalow 63
632,Nabire,ID,76.32,moderate rain,-3.3667,135.4833,Hotel Nusantara I
636,Pacific Grove,US,78.55,clear sky,36.6177,-121.9166,Lovers Point Inn
639,Bowen,AU,75.81,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
643,Tual,ID,82.94,broken clouds,-5.6667,132.75,Grand Vilia Hotel
644,Diffa,NE,87.4,clear sky,13.3154,12.6113,ProDAF/Diffa
649,Manggar,ID,78.04,broken clouds,-2.8833,108.2667,Guest Hotel
661,Redmond,US,84.87,few clouds,47.674,-122.1215,Seattle Marriott Redmond
663,Villamontes,BO,77.49,broken clouds,-21.25,-63.5,Hotel Raldes
670,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
673,Manaus,BR,75.7,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
675,Bandar-E Lengeh,IR,85.87,clear sky,26.5579,54.8807,کافی نت پارس
